,Unnamed: 0,Unnamed: 0.1,State,District,MapeScore arima,MapeScore var,MapeScore poly
214,214,214,Bihar,Aurangabad,94.86940881786914,61.385553973422155,612.9234052084006
215,215,215,Gujarat,Vadodara,1.3275019808624289,4.933305720387813,1.8136781770733845
216,216,216,Maharashtra,Pune,4.146883393835329,5.837843636494212,3.2599366425271588
217,217,217,Uttar Pradesh,Gorakhpur,12.089628207269106,1.6705529717045535,4.537304229157245
218,218,218,Rajasthan,Rajsamand,1.7143366063113126,2.789894501236668,7.208475972352689
221,221,221,Himachal Pradesh,Shimla,28.92910586233373,5.86338557894786,11.963667171108257
227,227,227,Maharashtra,Nashik,9.097200026726467,7.285096473327781,15.437158019642915
228,228,228,Gujarat,Bharuch,7.337821459594405,4.6998007913653455,29.158410116802603
229,229,229,Rajasthan,Sikar,18.98020204181065,22.539735632294196,6.544044522703405
230,230,230,Rajasthan,Udaipur,7.675307342273707,4.2965041607654335,169.6459122770421
232,232,232,Bihar,Rohtas,14.431403441142256,2.515353436394553,12.750035992892595
239,239,239,Gujarat,Jamnagar,8.451028432230325,11.231106585243097,23.61673755276414
240,240,240,Himachal Pradesh,Mandi,50.71876910109544,5.12333103487173,30.269947379941552
243,243,243,Andhra Pradesh,Krishna,12.01331535805079,9.77617251838053,11.052488562698242
245,245,245,Rajasthan,Bhilwara,15.264840531063015,11.740150815361785,8.04044589596817
246,246,246,Kerala,Kannur,19.410138330037405,20.578578595996564,0.6424768531190793
248,248,248,Uttar Pradesh,Etawah,12.178680536723402,2.9105990739804697,3.8746435153495926
254,254,254,Haryana,Jind,41.50043245084388,6.2594035884518044,1141335.2403172061
255,255,255,Uttar Pradesh,Kushinagar,18.178779363016385,3.8657806705528936,12.76657332057513
257,257,257,Gujarat,Porbandar,30.333900287355647,2.8199508795510866,39.096496398093336
260,260,260,Andhra Pradesh,Visakhapatnam,5.061381916404075,6.162269176711329,89.07823173624524
262,262,262,Uttar Pradesh,Meerut,24.435612955202732,5.3585390918148965,3.524001985812929
267,267,267,Maharashtra,Nagpur,7.576749260590709,15.421601463277351,14.258467813368084
270,270,270,Himachal Pradesh,Bilaspur,57.11036267995064,28.49121849504878,1699.6008476885954
273,273,273,Rajasthan,Alwar,8.679950569835919,7.023568262980842,7.553330007629119
277,277,277,Uttar Pradesh,Firozabad,3.607438765141352,11.9606065893641,2.1088091561968962
280,280,280,Madhya Pradesh,Ujjain,17.641876471942716,6.578560595782197,33.84840536238887
286,286,286,Maharashtra,Parbhani,3.129042694268453,12.35957127692626,7.018624223130334
292,292,292,Andhra Pradesh,East Godavari,3.5500772964460374,1.9420209213642563,91.84980486132594
296,296,296,Madhya Pradesh,Satna,18.520782018416288,10.928239967772956,39.718188832658726
298,298,298,Odisha,Cuttack,24.25730410305725,5.977157095826626,6291099567272159.0
299,299,299,Punjab,Jalandhar,14.776805318714805,18.128092227154404,28.582984801346594
300,300,300,Uttar Pradesh,Deoria,17.514529475026087,0.25824539082135056,8.554900126140991
302,302,302,Uttar Pradesh,Jalaun,3.73872603185636,4.405396419925441,21.84628313289957
303,303,303,Madhya Pradesh,Sagar,17.085120931199306,4.151345033898859,24.100330672714694
304,304,304,Rajasthan,Ajmer,4.52555406228874,9.647246745125457,4.851123127492986
309,309,309,Tamil Nadu,Coimbatore,7.7465890600589935,2.8023505984545496,4678242321.775867
310,310,310,Punjab,Amritsar,21.734616806511575,15.863437276899905,26.845996788044868
315,315,315,Chhattisgarh,Raigarh,64.03602464853513,141.75464395323004,1525.7488651220265
317,317,317,Rajasthan,Bikaner,10.314874547187443,9.791241490985355,14.08572390520475
319,319,319,Karnataka,Chikkaballapura,6.949039959283054,14.864337408231066,228.85041381044365
321,321,321,Tamil Nadu,Thoothukkudi,7.871684077087945,1.6146519633158491,34.96593623775736
322,322,322,Uttar Pradesh,Ghaziabad,11.308062441330394,1.7816109560961162,4.57507743179787
330,330,330,Bihar,Begusarai,41.18460417842064,1.996968519347913,16.042442821632005
331,331,331,Tamil Nadu,Dindigul,19.649117812513328,12.075488399047105,57.353579745544714
332,332,332,Uttar Pradesh,Aligarh,6.294287940196318,9.314329156739175,7.1944153761796885
333,333,333,Tamil Nadu,Vellore,9.845000065269053,4.030224257741366,27303391.845965292
335,335,335,Madhya Pradesh,Burhanpur,11.630170517570633,3.3268281467020087,6.018772940582853
